STT,Chủ đề,Chi nhánh,Câu hỏi,A,B,C,D,Đáp án,Giải thích
1,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,"Giá vé ưu đãi dành riêng cho khách hàng nữ tại Quận 2 (T7,T8/2026) là bao nhiêu?",210k,150k,139k,125k,B,"Ưu đãi khách hàng nữ: 150k, áp dụng 09:00–12:00 và 16:00–21:00, T2–T6."
2,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Khung giờ nào KHÔNG thuộc ưu đãi khách hàng nữ 150k?,Cả 09:00–12:00 và 16:00–21:00 đều thuộc,12:00–16:00,09:00–12:00,16:00–21:00,B,Ưu đãi nữ chỉ có 2 ca: 09:00–12:00 và 16:00–21:00. Khoảng 12:00–16:00 không nằm trong ưu đãi.
3,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,"Ưu đãi tối (21:00–24:00) tại Quận 2 kỳ T7,T8/2026 có giá bao nhiêu và áp dụng ngày nào?","170k, T2–CN","139k, chỉ T2–T6","110k, T2–CN","139k, T2–CN",D,"Ưu đãi tối 139k, 21:00–24:00, áp dụng cả tuần T2–CN. (Kỳ T5,T6 trước đó là 110k.)"
4,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Ưu đãi cuối tuần 210k áp dụng vào những khung giờ nào?,Cả ngày 09:00–24:00,09:00–10:30 và 16:00–20:00,09:00–11:00 và 12:00–24:00,Chỉ 09:00–10:30,B,Ưu đãi cuối tuần (T7–CN) 210k có 2 ca: 09:00–10:30 và 16:00–20:00.
5,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,"Điều kiện mạng xã hội của ưu đãi HSSV kỳ T7,T8/2026 là gì?",Bắt buộc cả Follow TikTok VÀ Like + Share Facebook,Không yêu cầu,Chỉ cần review Google Maps,Follow TikTok Golden Lotus HOẶC Like + Share Facebook,D,"Từ kỳ T7,T8/2026 là 'HOẶC' — chỉ cần một trong hai. Lưu ý kỳ T5,T6 trước đó ghi 'VÀ'."
6,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,"Một sinh viên đi MỘT MÌNH, có thẻ sinh viên hợp lệ, đến lúc 19:00. Có được mua vé HSSV 125k không?",Chỉ được nếu mua kèm combo tại Golden Kitchen,Không — ưu đãi HSSV luôn bắt buộc nhóm từ 2 HSSV trở lên,"Được, nhưng phải trả thêm 20k vì đi một mình",Được — ca chiều/tối 12:00–24:00 áp dụng cho cả khách đi một mình,D,Điều kiện nhóm từ 2 HSSV trở lên CHỈ áp dụng cho ca sáng 09:00–11:00. Ca chiều/tối 12:00–24:00 thì 1 người vẫn được áp dụng.
7,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,"Học sinh 16 tuổi mặc đồng phục trường đến check-in, không mang thẻ học sinh. Cần thêm giấy tờ gì?",Sổ hộ khẩu,Giấy khai sinh,CCCD (bắt buộc với khách dưới 18 tuổi),Không cần gì thêm,C,Học sinh: thẻ học sinh HOẶC đồng phục trường + CCCD nếu dưới 18 tuổi.
8,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Combo 'Nghỉ dưỡng + Skin care' cho NAM & NỮ giá 235k áp dụng khung giờ nào?,"12:00–17:00, T2–T6","Sau 20:00, T2–CN","Sau 19:00, T2–T6","09:00–22:00, T7–CN",B,"Combo Nam & Nữ 235k áp dụng sau 20:00, cả tuần T2–CN, booking trước qua hotline."
9,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Combo nghỉ dưỡng + Honey skin care cho Nữ giá 455k áp dụng vào ngày nào?,"T2–CN, sau 20:00","T2–T6, 12:00–17:00",Chỉ ngày lễ,"T7–CN, 09:00–22:00",D,"Combo 455k áp dụng T7–CN, khung 09:00–22:00."
10,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Tất cả các combo nghỉ dưỡng + care tại Q2 đều yêu cầu điều kiện gì?,Review Google Maps,Booking trước qua hotline,Đi nhóm từ 2 người,Có thẻ Beauty Passport,B,Cột điều kiện của nhóm COMBO ghi: Booking trước qua hotline.
11,"Nghỉ dưỡng Quận 2 — T7,T8/2026",Q2,Happy Hour Sáng tại Quận 2 có giá và lưu ý gì?,"170k, 09:00–11:00, áp dụng cả ngày lễ","190k, 08:00–11:00, T2–T6","210k, 20:00–24:00, T2–CN","210k, 09:00–11:00, T2–T6 — KHÔNG áp dụng ngày lễ",D,"Happy Hour Sáng Q2: 210k, 09:00–11:00, T2–T6, không áp dụng cho ngày lễ. (190k/08:00–11:00 là của Quận 7.)"
